车次,类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
G1899,高速,义乌,15:52,诸暨,2019/8/18 16:06,2019/8/18 16:13,西安北,2019/8/18 23:11
G1966,高速,温州南,15:32,诸暨,2019/8/18 17:36,2019/8/18 17:38,郑州东,2019/8/18 23:22
G1967,高速,温州南,15:32,诸暨,2019/8/18 17:36,2019/8/18 17:38,郑州东,2019/8/18 23:22
G2331,高速,贵阳北,8:55,诸暨,2019/8/18 17:17,2019/8/18 17:18,宁波,2019/8/18 19:05
G2334,高速,贵阳北,8:55,诸暨,2019/8/18 17:17,2019/8/18 17:18,宁波,2019/8/18 19:05
G2346,高速,宁波,17:09,诸暨,2019/8/18 18:59,2019/8/18 19:04,长沙南,2019/8/18 23:13
G2347,高速,宁波,17:09,诸暨,2019/8/18 18:59,2019/8/18 19:04,长沙南,2019/8/18 23:13
G2356,高速,宁波,14:43,诸暨,2019/8/18 16:28,2019/8/18 16:36,南昌,2019/8/18 19:15
G2357,高速,宁波,14:43,诸暨,2019/8/18 16:28,2019/8/18 16:36,南昌,2019/8/18 19:15
G2361,高速,贵阳北,7:30,诸暨,2019/8/18 15:23,2019/8/18 15:32,宁波,2019/8/18 17:14
G2364,高速,贵阳北,7:30,诸暨,2019/8/18 15:23,2019/8/18 15:32,宁波,2019/8/18 17:14
G45,高速,北京南,15:25,诸暨,2019/8/18 21:59,2019/8/18 22:01,江山,2019/8/18 23:10
G46,高速,江山,8:03,诸暨,2019/8/18 9:18,2019/8/18 9:20,北京南,2019/8/18 15:43
G7316,高速,诸暨,19:23,诸暨,2019/8/18 19:23,2019/8/18 19:23,杭州东,2019/8/18 19:47
G7321,高速,上海虹桥,16:17,诸暨,2019/8/18 17:46,2019/8/18 17:48,苍南,2019/8/18 20:45
G7325,高速,上海虹桥,8:30,诸暨,2019/8/18 10:27,2019/8/18 10:32,温州南,2019/8/18 12:33
G7328,高速,诸暨,7:03,诸暨,2019/8/18 7:03,2019/8/18 7:03,杭州东,2019/8/18 7:28
G7331,高速,上海虹桥,6:17,诸暨,2019/8/18 7:41,2019/8/18 7:42,温州南,2019/8/18 9:41
G7333,高速,上海虹桥,6:29,诸暨,2019/8/18 7:49,2019/8/18 7:51,温州南,2019/8/18 9:56
G7335,高速,上海虹桥,12:30,诸暨,2019/8/18 14:00,2019/8/18 14:02,苍南,2019/8/18 16:32
G7339,高速,上海虹桥,18:35,诸暨,2019/8/18 20:03,2019/8/18 20:05,苍南,2019/8/18 22:51
G7348,高速,丽水,11:19,诸暨,2019/8/18 12:39,2019/8/18 12:46,上海虹桥,2019/8/18 14:04
G7355,高速,南京,7:35,诸暨,2019/8/18 11:09,2019/8/18 11:11,衢州,2019/8/18 12:00
G7361,高速,杭州东,5:50,诸暨,2019/8/18 6:13,2019/8/18 6:15,江山,2019/8/18 7:24
G7364,高速,江山,7:39,诸暨,2019/8/18 8:56,2019/8/18 8:58,上海虹桥,2019/8/18 10:36
G7365,高速,上海虹桥,16:07,诸暨,2019/8/18 17:28,2019/8/18 17:30,江山,2019/8/18 18:25
G7367,高速,上海虹桥,17:53,诸暨,2019/8/18 19:31,2019/8/18 19:33,乐清,2019/8/18 22:21
G7370,高速,上海虹桥,17:53,诸暨,2019/8/18 19:31,2019/8/18 19:33,乐清,2019/8/18 22:21
G7371,高速,金寨,14:10,诸暨,2019/8/18 19:46,2019/8/18 19:48,江山,2019/8/18 21:09
G7374,高速,金寨,14:10,诸暨,2019/8/18 19:46,2019/8/18 19:48,江山,2019/8/18 21:09
G7379,高速,杭州东,11:07,诸暨,2019/8/18 11:31,2019/8/18 11:33,丽水,2019/8/18 12:59
G7381,高速,上海虹桥,19:11,诸暨,2019/8/18 20:49,2019/8/18 20:51,衢州,2019/8/18 21:54
G7382,高速,衢州,7:15,诸暨,2019/8/18 8:17,2019/8/18 8:19,上海虹桥,2019/8/18 9:54
G7383,高速,上海虹桥,20:44,诸暨,2019/8/18 22:16,2019/8/18 22:18,衢州,2019/8/18 23:14
G7386,高速,衢州,8:11,诸暨,2019/8/18 9:06,2019/8/18 9:08,合肥南,2019/8/18 13:49
G7387,高速,衢州,8:11,诸暨,2019/8/18 9:06,2019/8/18 9:08,合肥南,2019/8/18 13:49
G7461,高速,上海虹桥,11:04,诸暨,2019/8/18 12:48,2019/8/18 12:50,温州南,2019/8/18 14:44
G7463,高速,杭州东,17:49,诸暨,2019/8/18 18:13,2019/8/18 18:29,温州南,2019/8/18 20:17
G7465,高速,杭州东,17:09,诸暨,2019/8/18 17:33,2019/8/18 17:35,温州南,2019/8/18 19:32
G7467,高速,杭州东,9:38,诸暨,2019/8/18 10:01,2019/8/18 10:17,苍南,2019/8/18 12:46
G7468,高速,苍南,13:07,诸暨,2019/8/18 15:48,2019/8/18 15:58,杭州东,2019/8/18 16:23
G7619,高速,徐州东,8:40,诸暨,2019/8/18 12:43,2019/8/18 12:45,温州南,2019/8/18 14:39
G7621,高速,杭州东,13:46,诸暨,2019/8/18 14:10,2019/8/18 14:27,温州南,2019/8/18 16:40
G7623,高速,杭州东,17:36,诸暨,2019/8/18 18:02,2019/8/18 18:08,苍南,2019/8/18 21:04
G7641,高速,南京南,7:13,诸暨,2019/8/18 9:20,2019/8/18 9:26,苍南,2019/8/18 11:44
G7643,高速,南京南,7:07,诸暨,2019/8/18 9:32,2019/8/18 9:43,丽水,2019/8/18 10:53
G7644,高速,金华南,16:53,诸暨,2019/8/18 17:27,2019/8/18 17:29,南京南,2019/8/18 19:21
G7649,高速,南京南,15:24,诸暨,2019/8/18 17:22,2019/8/18 17:24,衢州,2019/8/18 18:25
G7650,高速,衢州,18:48,诸暨,2019/8/18 19:48,2019/8/18 19:54,南京南,2019/8/18 21:50
G7655,高速,合肥南,18:06,诸暨,2019/8/18 20:54,2019/8/18 20:56,温州南,2019/8/18 22:55
G7658,高速,合肥南,18:06,诸暨,2019/8/18 20:54,2019/8/18 20:56,温州南,2019/8/18 22:55
G7685,高速,淮南东,15:00,诸暨,2019/8/18 18:49,2019/8/18 18:49,诸暨,2019/8/18 18:49
G7688,高速,淮南东,15:00,诸暨,2019/8/18 18:49,2019/8/18 18:49,诸暨,2019/8/18 18:49
G7691,高速,合肥南,8:25,诸暨,2019/8/18 11:37,2019/8/18 11:42,江山,2019/8/18 12:46
G7694,高速,合肥南,8:25,诸暨,2019/8/18 11:37,2019/8/18 11:42,江山,2019/8/18 12:46
G7695,高速,淮北,8:06,诸暨,2019/8/18 12:38,2019/8/18 12:40,江山,2019/8/18 13:49
G7698,高速,淮北,8:06,诸暨,2019/8/18 12:38,2019/8/18 12:40,江山,2019/8/18 13:49
K101,快速,北京,23:20,诸暨,2019/8/19 22:04,2019/8/19 22:07,温州,2019/8/20 5:49
K102,快速,温州,12:00,诸暨,2019/8/18 18:01,2019/8/18 18:04,北京,2019/8/19 15:43
K1049,快速,青岛北,11:00,诸暨,2019/8/19 10:01,2019/8/19 10:04,温州,2019/8/19 16:30
K1050,快速,温州,23:00,诸暨,2019/8/19 6:30,2019/8/19 6:35,青岛北,2019/8/20 6:12
K1051,快速,温州,23:00,诸暨,2019/8/19 6:30,2019/8/19 6:35,青岛北,2019/8/20 6:12
K1052,快速,青岛北,11:00,诸暨,2019/8/19 10:01,2019/8/19 10:04,温州,2019/8/19 16:30
K1125,快速,襄阳东,13:15,诸暨,2019/8/19 4:58,2019/8/19 5:01,上海南,2019/8/19 8:30
K1128,快速,襄阳东,13:15,诸暨,2019/8/19 4:58,2019/8/19 5:01,上海南,2019/8/19 8:30
K1182,快速,义乌,17:09,诸暨,2019/8/18 17:39,2019/8/18 17:42,烟台,2019/8/18 18:38
K1183,快速,义乌,17:09,诸暨,2019/8/18 17:39,2019/8/18 17:42,烟台,2019/8/18 18:38
K1209,快速,上海南,10:59,诸暨,2019/8/18 14:15,2019/8/18 14:18,厦门,2019/8/19 11:21
K1210,快速,厦门,10:08,诸暨,2019/8/19 4:33,2019/8/19 4:49,上海南,2019/8/19 9:06
K1238,快速,温州,15:10,诸暨,2019/8/18 20:47,2019/8/18 20:50,郑州,2019/8/19 12:53
K1239,快速,温州,15:10,诸暨,2019/8/18 20:47,2019/8/18 20:50,郑州,2019/8/19 12:53
K1373,快速,上海南,16:49,诸暨,2019/8/18 20:05,2019/8/18 20:14,怀化,2019/8/19 17:10
K1376,快速,上海南,16:49,诸暨,2019/8/18 20:05,2019/8/18 20:14,怀化,2019/8/19 17:10
K1395,快速,太原,21:14,诸暨,2019/8/19 21:26,2019/8/19 21:29,温州,2019/8/20 5:30
K1398,快速,太原,21:14,诸暨,2019/8/19 21:26,2019/8/19 21:29,温州,2019/8/20 5:30
K149,快速,上海南,8:36,诸暨,2019/8/18 11:33,2019/8/18 11:36,湛江,2019/8/18 14:28
K150,快速,湛江,22:55,诸暨,2019/8/19 3:10,2019/8/19 3:13,上海南,2019/8/19 6:12
K1509,快速,义乌,11:03,诸暨,2019/8/18 11:31,2019/8/18 11:40,聊城,2019/8/19 8:08
K1510,快速,聊城,12:58,诸暨,2019/8/19 7:45,2019/8/19 7:48,义乌,2019/8/19 8:24
K1511,快速,聊城,12:58,诸暨,2019/8/19 7:45,2019/8/19 7:48,义乌,2019/8/19 8:24
K1512,快速,义乌,11:03,诸暨,2019/8/18 11:31,2019/8/18 11:40,聊城,2019/8/19 8:08
K209,快速,宁波,15:05,诸暨,2019/8/18 19:31,2019/8/18 19:46,广州,2019/8/19 14:58
K210,快速,广州,20:34,诸暨,2019/8/19 12:33,2019/8/19 12:36,宁波,2019/8/19 16:45
K211,快速,广州,20:34,诸暨,2019/8/19 12:33,2019/8/19 12:36,宁波,2019/8/19 16:45
K212,快速,宁波,15:05,诸暨,2019/8/18 19:31,2019/8/18 19:46,广州,2019/8/19 14:58
K271,快速,上海南,17:01,诸暨,2019/8/18 20:24,2019/8/18 20:27,井冈山,2019/8/19 6:02
K345,快速,温州,18:20,诸暨,2019/8/18 0:28,2019/8/18 0:31,沈阳北,2019/8/18 8:10
K346,快速,沈阳北,19:36,诸暨,2019/8/20 4:23,2019/8/20 4:26,温州,2019/8/20 11:40
K347,快速,沈阳北,19:36,诸暨,2019/8/20 4:23,2019/8/20 4:26,温州,2019/8/20 11:40
K348,快速,温州,18:20,诸暨,2019/8/18 0:28,2019/8/18 0:31,沈阳北,2019/8/18 8:10
K469,快速,苏州,15:22,诸暨,2019/8/18 20:37,2019/8/18 20:48,赣州,2019/8/19 7:31
K470,快速,赣州,17:29,诸暨,2019/8/19 6:10,2019/8/19 6:20,苏州,2019/8/19 11:30
K495,快速,上海南,19:03,诸暨,2019/8/18 21:54,2019/8/18 21:57,贵阳,2019/8/18 22:37
K512,快速,海口,19:30,诸暨,2019/8/20 5:12,2019/8/20 5:15,上海南,2019/8/20 8:49
K525,快速,南京,13:17,诸暨,2019/8/18 21:16,2019/8/18 21:19,福州,2019/8/19 9:08
K526,快速,福州,12:08,诸暨,2019/8/18 0:34,2019/8/18 0:42,南京,2019/8/18 8:09
K527,快速,南京,14:38,诸暨,2019/8/18 22:14,2019/8/18 22:23,广州,2019/8/19 18:43
K529,快速,杭州,12:27,诸暨,2019/8/18 13:26,2019/8/18 13:35,成都东,2019/8/18 21:18
K532,快速,杭州,12:27,诸暨,2019/8/18 13:26,2019/8/18 13:35,成都东,2019/8/18 21:18
K575,快速,上海南,14:18,诸暨,2019/8/18 17:22,2019/8/18 17:25,永州,2019/8/19 9:05
K576,快速,永州,15:36,诸暨,2019/8/19 7:39,2019/8/19 7:42,上海南,2019/8/19 11:18
K581,快速,宁波,8:16,诸暨,2019/8/18 11:19,2019/8/18 11:22,南宁,2019/8/18 12:19
K582,快速,南宁,21:56,诸暨,2019/8/20 3:04,2019/8/20 3:07,宁波,2019/8/20 6:17
K583,快速,南宁,21:56,诸暨,2019/8/20 3:04,2019/8/20 3:07,宁波,2019/8/20 6:17
K584,快速,宁波,8:16,诸暨,2019/8/18 11:19,2019/8/18 11:22,南宁,2019/8/18 12:19
K71,快速,上海南,14:34,诸暨,2019/8/18 17:35,2019/8/18 17:38,重庆北,2019/8/18 19:16
K72,快速,重庆北,7:00,诸暨,2019/8/19 8:47,2019/8/19 8:50,上海南,2019/8/19 12:15
K73,快速,重庆北,7:00,诸暨,2019/8/19 8:47,2019/8/19 8:50,上海南,2019/8/19 12:15
K739,快速,上海南,19:36,诸暨,2019/8/18 22:46,2019/8/18 22:49,昆明,2019/8/19 8:23
K74,快速,上海南,14:34,诸暨,2019/8/18 17:35,2019/8/18 17:38,重庆北,2019/8/18 19:16
K740,快速,昆明,23:35,诸暨,2019/8/20 10:53,2019/8/20 10:56,上海南,2019/8/20 14:33
K752,快速,潢川,14:50,诸暨,2019/8/19 2:01,2019/8/19 2:04,上海南,2019/8/19 5:26
K753,快速,潢川,14:50,诸暨,2019/8/19 2:01,2019/8/19 2:04,上海南,2019/8/19 5:26
K759,快速,上海南,12:01,诸暨,2019/8/18 15:31,2019/8/18 15:34,衡阳,2019/8/19 5:00
K808,快速,怀化,12:00,诸暨,2019/8/19 9:07,2019/8/19 9:10,苏州,2019/8/19 14:54
K809,快速,怀化,12:00,诸暨,2019/8/19 9:07,2019/8/19 9:10,苏州,2019/8/19 14:54
